,0,1,2,pH,label
169,-0.2999580701358804,-0.06883197077361848,-0.045744949871683024,3.44,1
168,-0.2865123651040038,-0.07427699355758426,-0.04871025278824564,3.44,1
167,-0.24648084179296867,-0.08103916866209034,-0.063759782558871,3.44,1
165,-0.21044365048470898,-0.08941299739412231,-0.0695569874168002,3.44,1
164,-0.19033826290287725,-0.08523586900699393,-0.06745505852407518,3.44,1
163,-0.16706409385058996,-0.07120373863130718,-0.06878125686621715,3.44,1
162,-0.16468990931736013,-0.07531227678937802,-0.061918886587761804,3.44,1
160,-0.14499500398906162,-0.08446704727402043,-0.08590616589899877,3.44,1
166,-0.22464144445765272,-0.08553643013978954,-0.06988818516382887,3.44,1
150,-0.3436893214853842,-0.018659829289498726,-0.04840893981376964,3.47,1
88,-0.38888836974358143,-0.034060128111878696,-0.017493556691032447,3.47,0
159,-0.14048150481306254,-0.08218524960774824,-0.09047143491965086,3.47,1
158,-0.10531825147172573,-0.062362272438133755,-0.07674594419808518,3.47,1
157,-0.07923029290519533,-0.06092535607505548,-0.09349061086890054,3.47,1
155,-0.13122822967725445,-0.048995801832600536,-0.08247192645200652,3.47,1
154,-0.19219376760640805,-0.07633269244692632,-0.08596414630538438,3.47,1
153,-0.23870278182760502,-0.06252792813758797,-0.06861074047221387,3.47,1
152,-0.3064051364018367,-0.017653975748138862,-0.04419776232133313,3.47,1
89,-0.3393631821405075,-0.08447173616564534,-0.059962390947783314,3.47,0
151,-0.31680389675917625,-0.06252094826251144,-0.07027988895990446,3.47,1
81,-0.49354534332166866,-0.020964957742476146,-0.019329070755915893,3.47,0
82,-0.5152399401987365,-0.01749658682277659,-0.013007476567855733,3.47,0
83,-0.5258689853920541,-0.05809593342681614,-0.0420727749336515,3.47,0
84,-0.5667840759775545,-0.03293681079306591,-0.020938091335696157,3.47,0
85,-0.5970368866591246,-0.04430189416320144,-0.02760814895040253,3.47,0
86,-0.5942245188653268,-0.050117696916564,-0.04027588636995195,3.47,0
87,-0.41745038005653784,-0.04279900192259115,-0.01953594992243676,3.47,0
80,-0.4842149269503136,-0.016733522289235695,-0.028454876543711257,3.47,0
156,-0.10714396090371378,-0.05412943657453487,-0.08585670863691706,3.47,1
74,-0.3713072124310176,0.08302124901714596,-0.06371152102577393,3.5,0
78,-0.41557242394672683,0.09630869884482368,-0.03792814144220072,3.5,0
77,-0.5057098354135267,0.10692533372021198,-0.04982837447905997,3.5,0
76,-0.4482431656125851,0.09506729923878622,-0.05264453834918737,3.5,0
75,-0.39243755749195464,0.09373097026993876,-0.05373897792533155,3.5,0
73,-0.34288344102640483,0.08477525499140166,-0.0711290916502185,3.5,0
72,-0.37301974489620016,0.1025493630776941,-0.05274008909279761,3.5,0
71,-0.4392621222499239,0.10627525152328424,-0.05974841668728625,3.5,0
70,-0.37301974489620016,0.1025493630776941,-0.05274008909279761,3.5,0
79,-0.2802558136244614,0.043877124487703,-0.06158012044632764,3.5,0
147,-0.07115870651093496,-0.04339007112075176,-0.08912483456786176,3.51,1
146,-0.027952595995671493,-0.042830619869424394,-0.08466909067604421,3.51,1
145,0.008020343573609088,-0.04414932037391302,-0.09522217417711389,3.51,1
144,0.0343512616190988,-0.04894406138545811,-0.10454538702769473,3.51,1
140,0.06544035715716108,-0.04847941339431062,-0.09611951362715644,3.51,1
142,0.09341910039882328,-0.0608448833374808,-0.12051340123908864,3.51,1
141,0.07604163960800811,-0.05408580044613157,-0.10436156633432668,3.51,1
148,-0.08651272147704998,-0.030205609232860947,-0.07874597111785207,3.51,1
143,0.0938927829699797,-0.0603663723859509,-0.12193223569682377,3.51,1
149,-0.09317397676359133,-0.050973888209457835,-0.0803851825953502,3.51,1
0,-1.4539887958593987,0.7038554039311975,0.12791230188370303,3.54,0
2,-1.5426650553005032,0.7235967831186443,0.12978559694395797,3.54,0
9,-1.5448831147752802,0.7877250982167947,0.14934545467264596,3.54,0
8,-1.4840211741201486,0.7539051577432164,0.1346088757905571,3.54,0
7,-1.5335025167882632,0.787800272457578,0.16088033289369683,3.54,0
6,-1.4745398605689801,0.7403649808002405,0.13211375474897008,3.54,0
5,-1.565237820694945,0.7336581066508873,0.14665390207940174,3.54,0
4,-1.5660155502592563,0.760542300458498,0.1583056045448179,3.54,0
3,-1.529183343402755,0.7574659840444435,0.1503420250412179,3.54,0
1,-1.4996116570072824,0.7419832294972599,0.14639673478506451,3.54,0
224,-0.10077156371845078,-0.030432066817560565,-0.08835834531220153,3.55,1
223,-0.14321655073952513,-0.045183031205178456,-0.08884323980697749,3.55,1
222,-0.16919173600696852,-0.03862499780026552,-0.07816250020007072,3.55,1
225,-0.06178675462834546,-0.035095658458228325,-0.08625314712811309,3.55,1
220,-0.2412034469194869,-0.008229985495337693,-0.07119648092695785,3.55,1
226,-0.013782268230260568,-0.02322859544594744,-0.0906109053913507,3.55,1
221,-0.19107379869699154,-0.01874629289072449,-0.07943421615550576,3.55,1
227,0.02152923208433181,-0.028801333090805303,-0.09639073259468854,3.55,1
228,0.03758207568548347,-0.027242714203347184,-0.08742382742735749,3.55,1
229,0.011534131908716477,-0.0414999942796789,-0.10483626730688712,3.55,1
237,-0.06209976453930705,0.01010838564903871,-0.08788918084237214,3.6,1
230,0.04649458665630025,0.011406543344037482,-0.11273052672319842,3.6,1
231,0.031108796120267634,0.04099031433987791,-0.09273256207698923,3.6,1
232,0.026980053724254837,0.026646329223272935,-0.09793636419457857,3.6,1
233,0.017670828214705045,0.02886663463978018,-0.08831816817049178,3.6,1
234,-0.004498677534080591,0.04014361187145971,-0.08002269485490732,3.6,1
235,-0.0039862086918101185,0.020883294470782687,-0.08092132809606005,3.6,1
236,-0.05231929539344287,0.03079641255707165,-0.0822426510582022,3.6,1
238,-0.08254744692337097,0.025672293745449524,-0.08008803779270691,3.6,1
239,-0.1170151755829053,0.03368419342668509,-0.06902210130227958,3.6,1
245,0.4012578340527113,-0.06452985494206535,-0.09085831280228146,3.65,1
244,0.36256306830994656,-0.045186204321565414,-0.08626037239945837,3.65,1
243,0.3415898803403891,-0.039618517999657335,-0.07626962026177256,3.65,1
249,0.3732569069330135,-0.06599830907010389,-0.08595218370467328,3.65,1
241,0.29389111949038066,-0.06931466313583011,-0.08198715291114768,3.65,1
