Channel Wavelength(nm) Current BackGround Spectrum1 
297 609.42 11516 142 11516 
298 609.98 11604 118 11604 
299 610.55 11618 133 11618 
300 611.11 11632 118 11632 
301 611.67 11648 136 11648 
302 612.24 11689 114 11689 
303 612.8 11738 138 11738 
304 613.36 11747 128 11747 
305 613.92 11812 135 11812 
306 614.48 11817 121 11817 
307 615.05 11863 137 11863 
308 615.61 11875 132 11875 
309 616.17 11885 138 11885 
310 616.72 11924 124 11924 
311 617.28 12002 131 12002 
312 617.84 12034 122 12034 
313 618.4 12103 138 12103 
314 618.96 12107 126 12107 
315 619.51 12170 130 12170 
316 620.07 12218 125 12218 
317 620.62 12267 136 12267 
318 621.18 12272 123 12272 
319 621.73 12319 136 12319 
320 622.29 12317 119 12317 
321 622.84 12356 128 12356 
322 623.4 12393 122 12393 
323 623.95 12411 137 12411 
324 624.5 12454 119 12454 
325 625.06 12503 130 12503 
326 625.61 12553 122 12553 
327 626.16 12597 142 12597 
328 626.71 12617 120 12617 
329 627.26 12641 136 12641 
330 627.82 12676 130 12676 
331 628.37 12680 138 12680 
332 628.92 12702 118 12702 
333 629.47 12697 135 12697 
334 630.02 12706 116 12706 
335 630.57 12765 129 12765 
336 631.12 12803 121 12803 
337 631.66 12787 136 12787 
338 632.21 12822 114 12822 
339 632.76 12834 143 12834 
340 633.31 12842 122 12842 
341 633.86 12875 135 12875 
342 634.41 12885 123 12885 
343 634.95 12924 124 12924 
344 635.5 12959 122 12959 
345 636.05 13024 131 13024 
346 636.6 13049 117 13049 
347 637.14 13054 136 13054 
348 637.69 13050 118 13050 
349 638.24 13085 138 13085 
350 638.78 13115 124 13115 
351 639.33 13111 128 13111 
352 639.88 13063 127 13063 
353 640.42 13113 137 13113 
354 640.97 13148 122 13148 
355 641.51 13177 133 13177 
356 642.06 13198 117 13198 
357 642.6 13188 140 13188 
358 643.15 13196 119 13196 
359 643.7 13193 133 13193 
360 644.24 13208 128 13208 
361 644.79 13270 129 13270 
362 645.33 13240 123 13240 
363 645.88 13235 142 13235 
364 646.42 13249 126 13249 
365 646.97 13271 138 13271 
366 647.51 13253 125 13253 
367 648.06 13263 132 13263 
368 648.6 13282 115 13282 
369 649.15 13291 136 13291 
370 649.69 13286 116 13286 
371 650.24 13312 140 13312 
372 650.78 13321 121 13321 
373 651.33 13320 134 13320 
374 651.87 13367 118 13367 
375 652.42 13403 134 13403 
376 652.96 13404 122 13404 
377 653.51 13425 143 13425 
378 654.05 13421 117 13421 
379 654.6 13398 136 13398 
380 655.15 13372 120 13372 
381 655.69 13419 136 13419 
382 656.24 13398 123 13398 
383 656.78 13402 132 13402 
384 657.33 13397 115 13397 
385 657.88 13376 147 13376 
386 658.42 13402 120 13402 
387 658.97 13389 135 13389 
388 659.52 13437 117 13437 
389 660.06 13444 133 13444 
390 660.61 13410 127 13410 
391 661.16 13432 137 13432 
392 661.71 13415 116 13415 
393 662.25 13416 137 13416 
394 662.8 13397 124 13397 
395 663.35 13393 145 13393 
396 663.9 13419 122 13419 
397 664.45 13451 129 13451 
398 665 13430 119 13430 
399 665.55 13404 138 13404 
400 666.1 13401 123 13401 
401 666.64 13357 131 13357 
